Description,Link
"Access Control System - Centralized Governance & Seasonal Menu Control","https://github.com/Nav33nR4J/franchisemultimenu"
"Access Control System - Project Preview","https://drive.foodhub.com/external/file/bvmdgf70b9d2fc06c442eb333678e6680c3cd"
"Mobile Application - Restaurant Management Mobile Ecosystem","http://github.com/Nav33nR4J/restaurant-management"
"Mobile Application - Project Preview","https://drive.foodhub.com/external/file/gj1f8e362f52491c44b0e80b36fdbbdc9469e"
"Promotions System - Advanced Analytics & Promotions Engine","https://github.com/Nav33nR4J/restaurant-management-5f60117c4fe71a0c9513c0c28d7378f9a930cfb4"
"Promotions System - Project Preview","https://drive.foodhub.com/external/file/lssrqb450728ae81e41ddb277d6dcb42a8f8c"
"Quality Assurance - Automated Testing Suite for MyTakeaway 2.0","https://github.com/uktech/mytakeaway2.0"
"Quality Assurance (Test Case) - Fix HorizontalStackBar tests","https://github.com/uktech/mytakeaway2.0/pull/34945"
"Quality Assurance (Test Case) - OrderCompletionTimeModal tests","https://github.com/uktech/mytakeaway2.0/pull/35062"
"Operations Dashboard - Real-Time Kiosk Operations & Monitoring System","https://github.com/uktech/SmartKiosk"
"Face Recognition - Advanced Biometric Authentication","https://github.com/uktech/SmartKiosk"
"Face Recognition - Project Preview","https://drive.foodhub.com/external/file/t6tz379c0f16d879443ddb5b58b857b260def"
"UI Component Library - Foodhub Slice Standardized UI Systems","https://github.com/uktech/foodhub-slice"
"UI Component Library - Storybook Documentation","https://storybook.sitfoodhub.com/?path=/docs/components-divider--docs"
"AI Chatbot Ordering - Preference-Aware AI Self-Ordering Assistant","https://github.com/uktech/customer_app_2.0"
